balance_0,balance_1,balance_2,GROUP
193.599374443297,392.16187080465437,455.2154063518538,1.0
179.77174181945136,230.28427694994022,390.7085845905163,4.0
41.404973727030594,230.94069899012536,266.3474565182464,3.0
182.78642787181906,353.6583026675577,433.8709059792399,1.0
160.68763611952158,266.95447718797516,339.7936711187854,2.0
29.085379626445764,194.19220747097464,289.565404128644,1.0
89.3577762473298,247.98683004884725,310.59599314381876,4.0
19.159515409087756,215.96576891516804,224.73473435102076,4.0
209.21426780659152,264.3022962287865,270.6852964858452,2.0
59.71502901486422,81.89788177933383,242.56363337211423,4.0
143.89859911454556,210.86560354522032,370.2356702260422,2.0
31.304180461912797,250.73162951767839,492.43335946714444,3.0
141.29184985122907,200.6851909967395,358.7688427962658,2.0
228.13267314547267,370.04072987758127,474.5117494034047,1.0
25.08062565675344,63.326226315979234,236.84295251763504,2.0
178.10943292044985,323.9053304974173,338.4881091716132,3.0
161.71401206483995,194.43550444855978,228.8145462044645,4.0
247.72080705045477,337.5372511311768,420.3911392548288,1.0
195.83521918430873,209.7776504633301,414.49913969182995,1.0
85.36781795037555,161.72274033025894,399.5797571118092,2.0
150.77471774577424,186.49469483447237,297.368200230054,2.0
130.12244286095657,137.11737887062327,169.24190686763532,3.0
183.85984789432516,382.4286668398339,604.1196030123659,2.0
178.397457919953,359.3139934357474,467.18010197623596,1.0
114.60586910795554,239.82305350908712,423.1911613887119,2.0
98.62322554592433,252.84959241339632,259.23422702965456,4.0
226.09623749426441,375.8163837305052,613.6833778817005,2.0
239.07472672481575,286.94142095197014,344.6418908175153,1.0
217.44787696229278,328.1880467408282,518.9021582289995,1.0
142.39533500255507,276.18869971189457,294.9261594870091,1.0
23.53459742031172,77.21854522487877,291.9226266620966,4.0
233.54631136505253,339.8338358830747,378.65613092627876,3.0
29.823825823944862,191.5900222590796,381.0400508659782,3.0
34.88520430697618,180.79503387722357,197.75992622085906,3.0
136.7672763589591,291.5072358559238,385.02097625902485,2.0
154.84062869644404,191.3829458905696,400.5885817262441,3.0
152.1337313524941,312.02815021870566,353.3424307147784,4.0
96.13984469850384,187.3545727290086,435.3389067654331,2.0
7.752736388698975,60.323906270147845,105.24647400083364,2.0
69.01459640833744,243.77909595323158,451.9000967119256,1.0
122.05133780151822,362.9326111596651,550.737746735748,2.0
121.61198957238558,176.0843637715187,337.063508359172,3.0
160.50732023152796,404.97207558733373,568.9701979283743,1.0
212.40406332892914,363.9610496149011,444.5914760179322,3.0
80.43147602327663,250.8911236964587,393.02409182486804,2.0
159.53041667445922,313.94812226531326,428.40819852434254,3.0
75.90264565519914,130.19668726510375,177.00664220623318,1.0
26.37275473902941,93.58910346752738,250.12826021102592,3.0
246.7209141082591,406.06171182445297,625.2414121690647,4.0
37.623263557910576,176.64690924010873,424.67416923589826,4.0
166.10774297582293,384.1036601807581,402.9617502517401,3.0
55.81275233307919,140.46939963844838,319.78534785032866,3.0
